file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,107,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,12
styles.css,108,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,21
styles.css,109,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,15
styles.css,110,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,12
styles.css,111,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,20
styles.css,112,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,15
styles.css,113,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,33
styles.css,114,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,115,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,116,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,13
styles.css,117,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,35
styles.css,118,css,28b22bc4,rhekacitra,2025-04-18,10:43:24,-07:00,2025-04-18T10:43:24-07:00,0,0
styles.css,119,css,ff4e6833,rhekacitra,2025-04-10,10:34:19,-07:00,2025-04-10T10:34:19-07:00,0,0
styles.css,120,css,ff4e6833,rhekacitra,2025-04-10,10:34:19,-07:00,2025-04-10T10:34:19-07:00,0,14
styles.css,121,css,ff4e6833,rhekacitra,2025-04-10,10:34:19,-07:00,2025-04-10T10:34:19-07:00,0,10
styles.css,122,css,ff4e6833,rhekacitra,2025-04-10,10:34:19,-07:00,2025-04-10T10:34:19-07:00,0,18
